absolute:0.2856882,2.039044,0.3278215|0.2856882,2.039044,0.3278215|0.2928642,2.033052,0.353093|0.2900601,2.032708,0.3792792|0.2962301,2.037635,0.412819|0.310714,2.043842,0.4449792|0.3383247,2.05568,0.4171845|0.3621448,2.057848,0.449488|0.3774758,2.056567,0.4701451|0.3545489,2.057274,0.4000108|0.386369,2.05505,0.432448|0.4066693,2.051993,0.4532084|0.3643006,2.04884,0.3821345|0.3967135,2.047272,0.4077254|0.4184171,2.044405,0.4254408|0.3286416,2.033295,0.3387602|0.3701475,2.036554,0.3634022|0.3997572,2.035573,0.3769027|0.4189216,2.031159,0.3856544|0.3120344,2.048902,0.4705431|0.3930007,2.056882,0.4880857|0.425938,2.051779,0.4713803|0.4379561,2.043413,0.4423183|0.4395049,2.029432,0.396371:
absolute:0.2839456,2.039569,0.327702|0.2839456,2.039569,0.327702|0.291135,2.033565,0.3529669|0.2883129,2.033196,0.3791509|0.2944485,2.038122,0.412697|0.3088723,2.044363,0.4448777|0.3365217,2.056241,0.4170937|0.3603508,2.058491,0.4493848|0.3756972,2.057264,0.4700339|0.3527438,2.057902,0.3999243|0.384574,2.055744,0.4323561|0.4048833,2.052717,0.453112|0.362522,2.049519,0.3820387|0.3949356,2.048041,0.4076343|0.4166391,2.045213,0.4253558|0.3269136,2.033928,0.3386396|0.3684065,2.037273,0.3632919|0.3980147,2.036399,0.3768028|0.417176,2.032014,0.3855759|0.3101216,2.049429,0.470444|0.3912299,2.05763,0.4879667|0.4241513,2.052524,0.471285|0.4361703,2.044243,0.4422436|0.4377438,2.030304,0.3963248:
absolute:0.2829762,2.039902,0.327344|0.2829762,2.039902,0.327344|0.2901669,2.0339,0.3526091|0.2873255,2.033528,0.3787909|0.2934334,2.038479,0.4123386|0.3077921,2.044775,0.4445375|0.3354945,2.056626,0.4167599|0.3593576,2.058962,0.4490199|0.3747315,2.057788,0.4696516|0.3517197,2.058321,0.3995967|0.3835611,2.056248,0.4320231|0.4038794,2.053267,0.4527767|0.3615177,2.04996,0.3817113|0.3939248,2.048559,0.4073194|0.4156199,2.045755,0.4250551|0.3259496,2.034327,0.3382942|0.3674287,2.037731,0.3629618|0.3970228,2.03694,0.3765087|0.4161695,2.032571,0.3853213|0.3089718,2.049873,0.4701008|0.3902845,2.058199,0.4875657|0.42315,2.053115,0.4709474|0.4351385,2.044799,0.4419583|0.4367127,2.030868,0.3961185:
absolute:0.2823045,2.040225,0.3285106|0.2823045,2.040225,0.3285106|0.2894672,2.03417,0.3537711|0.2865862,2.033751,0.3799479|0.292647,2.038653,0.4135111|0.3069484,2.044911,0.4457431|0.3347149,2.056768,0.4180235|0.3586043,2.05909,0.450265|0.3739974,2.057912,0.4708822|0.3509597,2.058503,0.4008829|0.3827847,2.056429,0.4333254|0.4030939,2.053444,0.4540873|0.3607804,2.050183,0.3829909|0.3931524,2.0488,0.4086442|0.4148212,2.04599,0.4264111|0.3252664,2.034636,0.3394988|0.366716,2.037996,0.3642219|0.3962796,2.037252,0.3778377|0.4154094,2.0329,0.3866955|0.3080766,2.049978,0.4713148|0.3895658,2.058321,0.488783|0.4223547,2.053296,0.4722683|0.4343134,2.045029,0.4433445|0.4359247,2.031209,0.3975475:
absolute:0.2816178,2.040557,0.3297531|0.2816178,2.040557,0.3297531|0.2887509,2.034447,0.3550083|0.2858289,2.033977,0.3811797|0.291841,2.038827,0.4147593|0.3060877,2.045039,0.4470244|0.3339155,2.056906,0.4193676|0.3578433,2.059212,0.4515818|0.3732633,2.058029,0.4721786|0.3501808,2.058684,0.4022509|0.3819908,2.056624,0.4347088|0.4022929,2.053648,0.4554792|0.3600251,2.050407,0.3843518|0.39236,2.049053,0.4100534|0.4140023,2.046247,0.4278535|0.3245674,2.034953,0.3407809|0.3659861,2.038264,0.3655623|0.3955083,2.037583,0.3792709|0.414618,2.033262,0.3881875|0.3071697,2.05007,0.4726052|0.3888539,2.058436,0.4900601|0.4215452,2.053518,0.4736693|0.433468,2.045294,0.4448177|0.4350994,2.031601,0.3991079:
absolute:0.2820603,2.04059,0.3308613|0.2820603,2.04059,0.3308613|0.2891507,2.03445,0.3561213|0.2861871,2.033964,0.3822877|0.2921537,2.038789,0.4158791|0.3063411,2.044976,0.4481751|0.3342469,2.056805,0.4205649|0.3582135,2.059125,0.4527492|0.3736587,2.057966,0.4733284|0.3505386,2.05858,0.403473|0.3823279,2.056566,0.4359541|0.4026189,2.053626,0.4567403|0.3603998,2.050309,0.3855808|0.3926961,2.048996,0.411333|0.4143128,2.046218,0.4291683|0.3249882,2.03493,0.3419456|0.3663748,2.038177,0.3667891|0.3958405,2.037539,0.3806209|0.4149188,2.033247,0.389618|0.3073749,2.049998,0.4737596|0.3892711,2.058389,0.4911906|0.4218606,2.053531,0.474942|0.4337541,2.045295,0.4461622|0.4353535,2.031608,0.4006286:
absolute:0.2826978,2.040363,0.331853|0.2826978,2.040363,0.331853|0.2897282,2.034207,0.3571258|0.2867054,2.033718,0.3832855|0.2925956,2.038506,0.4168955|0.3066916,2.044661,0.4492378|0.3347099,2.056493,0.4216731|0.3586771,2.058809,0.4538572|0.3741221,2.057659,0.4744371|0.3510396,2.058258,0.4046165|0.3827853,2.056325,0.4371452|0.4030494,2.053434,0.4579647|0.3609305,2.049983,0.3867425|0.3931704,2.048755,0.4125693|0.4147499,2.046031,0.430458|0.3255962,2.034656,0.3430266|0.3669331,2.037851,0.3679592|0.3963449,2.037295,0.3819088|0.4154002,2.033064,0.3909831|0.3076424,2.049669,0.4748282|0.3897347,2.058087,0.4922989|0.4222648,2.053381,0.4761941|0.4341541,2.045161,0.4474971|0.4357945,2.031482,0.4020766:
absolute:0.2837457,2.039969,0.3325071|0.2837457,2.039969,0.3325071|0.2907428,2.033806,0.3577876|0.2876962,2.033324,0.3839446|0.2935584,2.038089,0.4175628|0.3075999,2.044226,0.4499321|0.3356957,2.056036,0.4223743|0.3596876,2.058376,0.4545384|0.375148,2.057261,0.4751086|0.3520445,2.057775,0.4053332|0.3837872,2.055935,0.4378701|0.4040521,2.053113,0.4586982|0.36194,2.049482,0.3874699|0.3941573,2.048332,0.4133286|0.4157233,2.045664,0.4312419|0.3266249,2.0342,0.3437226|0.3679426,2.037338,0.3686942|0.3973233,2.036836,0.3827113|0.4163687,2.032652,0.3918284|0.3084991,2.049235,0.4755242|0.3907746,2.057717,0.4929575|0.4232667,2.053124,0.4769287|0.4351145,2.044851,0.4482985|0.4367431,2.03112,0.4029656:
absolute:0.2848006,2.039559,0.3331583|0.2848006,2.039559,0.3331583|0.2917654,2.03339,0.3584463|0.2886979,2.032913,0.3846008|0.2945348,2.037649,0.4182275|0.3085198,2.043767,0.4506248|0.3366917,2.055564,0.4230708|0.3607038,2.05793,0.4552178|0.3761776,2.056856,0.4757801|0.3530586,2.057275,0.4060444|0.3848013,2.055539,0.438587|0.4050697,2.052795,0.4594221|0.3629583,2.048965,0.3881915|0.3951547,2.047898,0.4140799|0.4167094,2.045291,0.4320157|0.3276609,2.033729,0.3444142|0.3689604,2.036809,0.3694234|0.3983133,2.036358,0.3835|0.4173526,2.032226,0.3926532|0.309366,2.048775,0.4762191|0.3918162,2.057345,0.4936176|0.4242854,2.052878,0.4776512|0.4360896,2.044541,0.4490878|0.4377114,2.030747,0.403826:
absolute:0.2861405,2.039068,0.3335718|0.2861405,2.039068,0.3335718|0.2930893,2.032905,0.3588657|0.2900164,2.032453,0.3850202|0.2958525,2.037191,0.4186468|0.3098083,2.043313,0.451056|0.3380464,2.055044,0.4234808|0.3620905,2.057422,0.455603|0.3775828,2.056374,0.4761527|0.3544194,2.056711,0.406456|0.386182,2.055058,0.4389836|0.4064648,2.052376,0.4598128|0.3643065,2.048368,0.3886112|0.3965051,2.047366,0.4144993|0.4180645,2.044814,0.4324375|0.3289878,2.033164,0.3448396|0.3702887,2.036187,0.3698535|0.3996323,2.035756,0.3839503|0.4186732,2.031656,0.3931146|0.3106286,2.04834,0.4766472|0.3932391,2.056883,0.4939742|0.4256933,2.052516,0.4780281|0.4374498,2.044122,0.4495062|0.439029,2.030207,0.4042969:
absolute:0.2874506,2.038439,0.3338801|0.2874506,2.038439,0.3338801|0.2944167,2.032272,0.3591683|0.2913661,2.031844,0.3853257|0.2972377,2.036576,0.418947|0.3111944,2.042694,0.4513565|0.339493,2.054346,0.4237226|0.3636128,2.05673,0.4557875|0.3791517,2.055703,0.476303|0.3558494,2.055974,0.406678|0.3876683,2.054365,0.4391527|0.4079872,2.051716,0.4599509|0.3656991,2.047605,0.3888248|0.3979301,2.046642,0.414674|0.4195146,2.044127,0.4325872|0.3302992,2.032455,0.3451001|0.3716352,2.035405,0.3700646|0.4009832,2.034978,0.3841524|0.4200336,2.0309,0.3933067|0.3120101,2.04774,0.4769444|0.3948498,2.056227,0.4940872|0.4272479,2.051882,0.4781319|0.4389248,2.043475,0.4496291|0.4403975,2.029471,0.4044765:
absolute:0.2887904,2.037776,0.3341963|0.2887904,2.037776,0.3341963|0.2957746,2.031604,0.3594783|0.2927455,2.031203,0.3856386|0.2986517,2.035929,0.4192546|0.3126061,2.042046,0.4516653|0.3409736,2.05361,0.4239698|0.3651676,2.055999,0.4559784|0.3807523,2.054993,0.4764603|0.3573126,2.055199,0.4069049|0.3891869,2.053624,0.4393268|0.4095411,2.051001,0.4600939|0.3671237,2.046804,0.3890429|0.3993877,2.045872,0.4148521|0.4209979,2.043391,0.432739|0.3316404,2.03171,0.3453667|0.3730124,2.034585,0.3702801|0.4023657,2.034154,0.3843567|0.4214269,2.030096,0.3934977|0.3134149,2.047112,0.4772493|0.3964916,2.055533,0.4942075|0.4288333,2.051185,0.4782412|0.440434,2.042776,0.4497528|0.441801,2.028687,0.4046514:
